account,symbol,net_position,position_date
ACCT_ARB,AAPL,25812,2026-02-01
ACCT_ARB,AMD,-93347,2026-02-01
ACCT_ARB,AMZN,44730,2026-02-01
ACCT_ARB,GOOGL,50744,2026-02-01
ACCT_ARB,INTC,90020,2026-02-01
ACCT_ARB,MSFT,-62681,2026-02-01
ACCT_ARB,NVDA,-76825,2026-02-01
ACCT_ARB,QQQ,31898,2026-02-01
ACCT_ARB,SPY,-196546,2026-02-01
ACCT_ARB,TSLA,-59573,2026-02-01
ACCT_FLOW,AAPL,123689,2026-02-01
ACCT_FLOW,AMD,-120438,2026-02-01
ACCT_FLOW,AMZN,80519,2026-02-01
ACCT_FLOW,GOOGL,1180,2026-02-01
ACCT_FLOW,INTC,-68417,2026-02-01
ACCT_FLOW,MSFT,46031,2026-02-01
ACCT_FLOW,NVDA,164562,2026-02-01
ACCT_FLOW,QQQ,138071,2026-02-01
ACCT_FLOW,SPY,48148,2026-02-01
ACCT_FLOW,TSLA,-10802,2026-02-01
ACCT_HEDGE,AAPL,76725,2026-02-01
ACCT_HEDGE,AMD,-78896,2026-02-01
ACCT_HEDGE,AMZN,120939,2026-02-01
ACCT_HEDGE,GOOGL,85061,2026-02-01
ACCT_HEDGE,INTC,-23474,2026-02-01
ACCT_HEDGE,MSFT,2556,2026-02-01
ACCT_HEDGE,NVDA,38601,2026-02-01
ACCT_HEDGE,QQQ,9605,2026-02-01
ACCT_HEDGE,SPY,2223,2026-02-01
ACCT_HEDGE,TSLA,-836,2026-02-01
ACCT_MAIN,AAPL,19779,2026-02-01
ACCT_MAIN,AMD,32307,2026-02-01
ACCT_MAIN,AMZN,-85136,2026-02-01
ACCT_MAIN,GOOGL,-191172,2026-02-01
ACCT_MAIN,INTC,25827,2026-02-01
ACCT_MAIN,MSFT,-101060,2026-02-01
ACCT_MAIN,NVDA,83675,2026-02-01
ACCT_MAIN,QQQ,100590,2026-02-01
ACCT_MAIN,SPY,17793,2026-02-01
ACCT_MAIN,TSLA,11743,2026-02-01
